,actual_property_label,claim_label,mape_label,parsed_sentence,predicted_label,property_prediction,random_label
24,/location/statistical_region/cpi_inflation_rate,1,1,Inflation -LRB- Average Consumer Price Change % -RRB- for LOCATION_SLOT in year 2013 is NUMBER_SLOT % .,1,/location/statistical_region/diesel_price_liter,1
25,/location/statistical_region/gdp_nominal,1,1,The latest value for GDP -LRB- current US$ -RRB- in LOCATION_SLOT was $ NUMBER_SLOT as of 2011 .,1,no_region,1
26,no_region,0,1,"GDP per capita ; PPP -LRB- US dollar -RRB- in LOCATION_SLOT was last measured at NUMBER_SLOT in 2012 , according to the World Bank .",0,/location/statistical_region/gni_per_capita_in_ppp_dollars,1
27,/location/statistical_region/gdp_growth_rate,1,1,"The IMF estimates LOCATION_SLOT 's growth at NUMBER_SLOT percent in 2012 , when inflation spiked as high as 25 percent and prompted strikes in the central African country .",1,/location/statistical_region/gdp_growth_rate,0
28,/location/statistical_region/health_expenditure_as_percent_of_gdp,1,1,"Health expenditure , total -LRB- % of GDP -RRB- in LOCATION_SLOT was NUMBER_SLOT as of 2011 .",0,/location/statistical_region/health_expenditure_as_percent_of_gdp,0
29,no_region,0,1,"According to the latest WHO data published in April 2011 life expectancy in LOCATION_SLOT</location> is : Male NUMBER_SLOT , female NUMBER_SLOT and total life expectancy is 81.1 which gives Austria a World Life Expectancy ranking of 18 .",1,/location/statistical_region/life_expectancy,1
30,/location/statistical_region/diesel_price_liter,1,1,"LOCATION_SLOT Pump price for diesel fuel -LRB- US$ per liter -RRB- 2012 : NUMBER_SLOT , U.S. dollars",0,no_region,1
31,/location/statistical_region/fertility_rate,1,0,53 Fertility Rate í¢ $ `` LOCATION_SLOT NUMBER_SLOT,0,/location/statistical_region/fertility_rate,1
32,no_region,0,1,"GDP ; PPP -LRB- US dollar -RRB- in LOCATION_SLOT was last measured at NUMBER_SLOT in 2012 , according to the World Bank .",0,/location/statistical_region/gni_per_capita_in_ppp_dollars,1
33,no_region,0,0,Value & RankThe Total Population of LOCATION_SLOT is NUMBER_SLOT -LRB- millions of -RRB- with a global rank of 52 .,0,no_region,0
34,/location/statistical_region/population,1,1,"The estimated 2014 population of LOCATION_SLOT is NUMBER_SLOT , which ranks 150th in the world .",1,/location/statistical_region/population,0
35,/location/statistical_region/gni_per_capita_in_ppp_dollars,1,1,"The latest value for GNI per capita , PPP -LRB- current international $ -RRB- in LOCATION_SLOT was NUMBER_SLOT as of 2011 .",0,/location/statistical_region/gni_per_capita_in_ppp_dollars,0
36,/location/statistical_region/population,1,1,LOCATION_SLOT has an estimated population of NUMBER_SLOT .,1,/location/statistical_region/population,1
37,/location/statistical_region/gni_in_ppp_dollars,1,1,"The latest value for GNI , PPP -LRB- current international $ -RRB- in LOCATION_SLOT was NUMBER_SLOT as of 2011 .",0,/location/statistical_region/diesel_price_liter,1
38,no_region,0,1,"The latest value for GDP per capita , PPP -LRB- current international $ -RRB- in LOCATION_SLOT was NUMBER_SLOT as of 2011 .",0,/location/statistical_region/gdp_nominal_per_capita,0
39,/location/statistical_region/health_expenditure_as_percent_of_gdp,1,1,"Ã‚ Total health spending accounts for NUMBER_SLOT % of GDPÃ‚ in the LOCATION_SLOT , in line with the OECD average .",1,/location/statistical_region/cpi_inflation_rate,0
40,/location/statistical_region/population,1,0,"The total population of LOCATION_SLOT is NUMBER_SLOT , and is predicted to reach 4.6 million within the next 44 years .",0,no_region,0
41,no_region,0,0,Ìâ LOCATION_SLOT | | NUMBER_SLOT,0,no_region,1
42,/location/statistical_region/population,1,1,LOCATION_SLOT has a population of NUMBER_SLOT -LRB- July 2000 est. -RRB- .,1,/location/statistical_region/population,1
43,/location/statistical_region/population,1,0,"The population of LOCATION_SLOT in 2003 was estimated by the United Nations at NUMBER_SLOT , which placed it as number 70 in population among the 193 nations of the world .",1,/location/statistical_region/population,1
44,/location/statistical_region/diesel_price_liter,1,1,"LOCATION_SLOT Pump price for diesel fuel -LRB- US$ per liter -RRB- 2012 : NUMBER_SLOT , U.S. dollars",0,no_region,0
45,/location/statistical_region/gni_per_capita_in_ppp_dollars,1,0,"The latest value for GNI per capita , PPP -LRB- constant 2005 international $ -RRB- in LOCATION_SLOT was NUMBER_SLOT as of 2011 .",0,/location/statistical_region/gni_per_capita_in_ppp_dollars,1
46,/location/statistical_region/population,1,0,"According to the CIA World Factbook , LOCATION_SLOT has a population of NUMBER_SLOT as at July 2011 ; the CIA World Factbook states that the population makeup is : `` mestizo -LRB- mixed Amerindian and European -RRB- 90 % , Amerindian 7 % , black 2 % , white 1 % '' .",0,/location/statistical_region/population,1
47,/location/statistical_region/diesel_price_liter,1,1,The latest value for Pump price for diesel fuel -LRB- US$ per liter -RRB- in LOCATION_SLOT was NUMBER_SLOT as of 2012 .,0,no_region,1
48,/location/statistical_region/population,1,1,"The LOCATION_SLOT , for example , has a population of less than NUMBER_SLOT in an area almost the size of France .",1,/location/statistical_region/population,1
49,/location/statistical_region/gdp_nominal_per_capita,1,1,"LOCATION_SLOT GDP per capita -LRB- current US$ -RRB- 2012 : NUMBER_SLOT , U.S. dollars",0,no_region,0
50,no_region,0,1,Ìâ LOCATION_SLOT | | NUMBER_SLOT,0,no_region,0
51,/location/statistical_region/population,1,0,In July 2000 the population of LOCATION_SLOT was estimated at NUMBER_SLOT .,1,/location/statistical_region/population,0
52,no_region,0,0,"According to the latest WHO data published in April 2011 life expectancy in LOCATION_SLOT</location> is : Male NUMBER_SLOT , female NUMBER_SLOT and total life expectancy is 54.7 which gives Zambia a World Life Expectancy ranking of 172 .",1,/location/statistical_region/life_expectancy,1
53,no_region,0,1,Ìâ LOCATION_SLOT | | NUMBER_SLOT,0,no_region,1
54,/location/statistical_region/diesel_price_liter,1,1,"LOCATION_SLOT Pump price for diesel fuel -LRB- US$ per liter -RRB- 2012 : NUMBER_SLOT , U.S. dollars",0,no_region,0
55,/location/statistical_region/health_expenditure_as_percent_of_gdp,1,1,"Health expenditure , total -LRB- % of GDP -RRB- in LOCATION_SLOT was NUMBER_SLOT as of 2011 .",0,/location/statistical_region/health_expenditure_as_percent_of_gdp,1
56,/location/statistical_region/population,1,0,"The population of LOCATION_SLOT in 2003 was estimated by the United Nations at NUMBER_SLOT , which placed it as number 18 in population among the 193 nations of the world .",1,/location/statistical_region/population,1
57,/location/statistical_region/cpi_inflation_rate,1,0,Inflation -LRB- Average Consumer Price Change % -RRB- for LOCATION_SLOT in year 2013 is NUMBER_SLOT % .,1,/location/statistical_region/diesel_price_liter,0
58,/location/statistical_region/gni_per_capita_in_ppp_dollars,1,1,"GNI per capita ; PPP -LRB- US dollar -RRB- in LOCATION_SLOT was last measured at NUMBER_SLOT in 2011 , according to the World Bank .",0,/location/statistical_region/gni_per_capita_in_ppp_dollars,0
59,/location/statistical_region/population,1,1,"According to an official estimate for 1 June 2014 , the population of LOCATION_SLOT is NUMBER_SLOT .",0,/location/statistical_region/population,0
60,/location/statistical_region/population,1,0,"In July of 2000 the population of LOCATION_SLOT was estimated at NUMBER_SLOT , a decrease of 10 percent from the 1989 population of 2666567 .",1,/location/statistical_region/population,1
61,/location/statistical_region/gni_per_capita_in_ppp_dollars,1,0,"The latest value for GNI per capita , PPP -LRB- current international $ -RRB- in LOCATION_SLOT was NUMBER_SLOT as of 2011 .",0,/location/statistical_region/gni_per_capita_in_ppp_dollars,0
62,/location/statistical_region/health_expenditure_as_percent_of_gdp,1,1,"Health expenditure , total -LRB- % of GDP -RRB- in LOCATION_SLOT was NUMBER_SLOT as of 2011 .",0,/location/statistical_region/health_expenditure_as_percent_of_gdp,0
63,/location/statistical_region/health_expenditure_as_percent_of_gdp,1,1,"Total health spending accounts for NUMBER_SLOT % of GDPÃ‚ in the LOCATION_SLOT , lower than the average of 9.4 % in OECD countries .",1,/location/statistical_region/cpi_inflation_rate,1
64,/location/statistical_region/population,1,0,"The total population in LOCATION_SLOT was last recorded at NUMBER_SLOT people in 2013 from 2.1 million in 1960 , changing 218 percent during the last 50 years .",1,/location/statistical_region/population,0
65,/location/statistical_region/gdp_growth_rate,1,1,"LOCATION_SLOT GDP growth -LRB- annual % -RRB- 2012 : NUMBER_SLOT , Percent change",0,/location/statistical_region/gdp_growth_rate,0
66,no_region,0,0,"The latest value for GDP per capita , PPP -LRB- constant 2005 international $ -RRB- in LOCATION_SLOT was NUMBER_SLOT as of 2011 .",0,/location/statistical_region/gni_per_capita_in_ppp_dollars,1
67,/location/statistical_region/population,1,0,"LOCATION_SLOT has an estimated population of NUMBER_SLOT as of 2013 , and its capital and largest city is Vilnius .",1,/location/statistical_region/population,1
68,/location/statistical_region/fertility_rate,1,1,"The value for Fertility rate , total -LRB- births per woman -RRB- in LOCATION_SLOT was NUMBER_SLOT as of 2011 .",1,/location/statistical_region/fertility_rate,1
69,no_region,0,1,"GDP per capita ; PPP -LRB- US dollar -RRB- in LOCATION_SLOT was last measured at NUMBER_SLOT in 2012 , according to the World Bank .",0,/location/statistical_region/gni_per_capita_in_ppp_dollars,1
70,no_region,0,1,Ìâ LOCATION_SLOT | | NUMBER_SLOT,0,no_region,0
71,/location/statistical_region/cpi_inflation_rate,1,0,Inflation -LRB- End of Year Change % -RRB- for LOCATION_SLOT in year 2013 is NUMBER_SLOT % .,1,/location/statistical_region/diesel_price_liter,0
72,/location/statistical_region/population,1,1,"LOCATION_SLOT has a population of around NUMBER_SLOT , a GDP per capita of over $ 55,000 -LRB- one of the wealthiest OECD countries -RRB- and a life expectancy of 81.5 years .",1,/location/statistical_region/life_expectancy,0
73,/location/statistical_region/population,1,0,"The population of LOCATION_SLOT , as estimated in late 2010 , is NUMBER_SLOT .",1,/location/statistical_region/population,0
74,/location/statistical_region/health_expenditure_as_percent_of_gdp,1,0,"Health expenditure , total -LRB- % of GDP -RRB- in LOCATION_SLOT was NUMBER_SLOT as of 2010 .",0,/location/statistical_region/health_expenditure_as_percent_of_gdp,0
75,no_region,0,1,"The latest value for GDP , PPP -LRB- current international $ -RRB- in LOCATION_SLOT was NUMBER_SLOT as of 2011 .",0,/location/statistical_region/gni_per_capita_in_ppp_dollars,1
76,no_region,0,1,"According to the latest WHO data published in April 2011 life expectancy in LOCATION_SLOT is : Male NUMBER_SLOT , female 85.2 and total life expectancy is 82.1 which gives Spain a World Life Expectancy ranking of 7 .",1,/location/statistical_region/life_expectancy,0
77,/location/statistical_region/population,1,0,"The total population in LOCATION_SLOT was last recorded at NUMBER_SLOT people in 2014 from 4.2 million in 1960 , changing 280 percent during the last 50 years .",1,/location/statistical_region/population,1
78,/location/statistical_region/diesel_price_liter,1,1,"LOCATION_SLOT Pump price for diesel fuel -LRB- US$ per liter -RRB- 2012 : NUMBER_SLOT , U.S. dollars",0,no_region,1
79,/location/statistical_region/population,1,1,LOCATION_SLOT has a total population of NUMBER_SLOT .,1,/location/statistical_region/population,1
80,/location/statistical_region/renewable_freshwater_per_capita,1,1,"LOCATION_SLOT Renewable internal freshwater resources per capita -LRB- cubic meters -RRB- 2011 : NUMBER_SLOT , Cubic meters",0,no_region,1
81,/location/statistical_region/population,1,0,LOCATION_SLOT has a small population of NUMBER_SLOT out of which approximately 750.000 live in Libreville and its surroundings .,1,/location/statistical_region/population,1
82,/location/statistical_region/population,1,0,"The population of Basseterre , LOCATION_SLOT is NUMBER_SLOT according to the GeoNames geographical database .",1,/location/statistical_region/population,0
83,/location/statistical_region/cpi_inflation_rate,1,0,Inflation -LRB- Average Consumer Price Change % -RRB- for LOCATION_SLOT in year 2013 is NUMBER_SLOT % .,1,/location/statistical_region/diesel_price_liter,0
84,no_region,0,1,"According to the latest WHO data published in April 2011 life expectancy in LOCATION_SLOT is : Male NUMBER_SLOT , female 68.9 and total life expectancy is 67.9 which gives Tajikistan a World Life Expectancy ranking of 125 .",1,/location/statistical_region/life_expectancy,0
85,/location/statistical_region/population,1,0,"The population of LOCATION_SLOT was estimated at NUMBER_SLOT in July of 2000 but the population is decreasing , that is the growth rate is negative -LRB- -0.29 percent -RRB- .",1,/location/statistical_region/population,1
86,no_region,0,1,Ìâ LOCATION_SLOT | | NUMBER_SLOT,0,no_region,1
87,/location/statistical_region/diesel_price_liter,1,1,"LOCATION_SLOT Pump price for diesel fuel -LRB- US$ per liter -RRB- 2012 : NUMBER_SLOT , U.S. dollars",0,no_region,0
88,no_region,0,0,"China 9.7 % , Netherlands 8.4 % , LOCATION_SLOT 7.6 % , US 5.7 % , Italy 5.2 % , UK NUMBER_SLOT % , Belgium 4.2 % , Austria 4.1 % , Switzerland 4.1 % -LRB- 2009 estimate -RRB-",1,/location/statistical_region/health_expenditure_as_percent_of_gdp,1
89,no_region,0,0,Value & RankThe Total Population of LOCATION_SLOT is NUMBER_SLOT -LRB- thousands of -RRB- with a global rank of 171 .,0,/location/statistical_region/internet_users_percent_population,0
90,/location/statistical_region/population,1,1,LOCATION_SLOT has a population of NUMBER_SLOT and a GDP worth $ 1.7 trillion .,0,no_region,0
91,/location/statistical_region/life_expectancy,1,1,"LOCATION_SLOT Life expectancy at birth , total -LRB- years -RRB- 2011 : NUMBER_SLOT , Years",1,/location/statistical_region/life_expectancy,1
92,/location/statistical_region/population,1,1,LOCATION_SLOT has a population of over NUMBER_SLOT as of 2013 ; this makes the country the fifth most populous country in the world and the most populous country in South America .,1,/location/statistical_region/population,0
93,/location/statistical_region/population,1,0,"In 2014 , the population of LOCATION_SLOT is estimated at NUMBER_SLOT , which ranks 104th in the world .",1,/location/statistical_region/population,1
94,/location/statistical_region/cpi_inflation_rate,1,0,Inflation -LRB- Average Consumer Price Change % -RRB- for LOCATION_SLOT in year 2013 is NUMBER_SLOT % .,1,/location/statistical_region/diesel_price_liter,0
95,/location/statistical_region/population,1,0,"According to the CIA 's website , the population of LOCATION_SLOT -LRB- as of July 2008 -RRB- is NUMBER_SLOT .",1,/location/statistical_region/population,1
96,no_region,0,0,"One month before the outbreak of WW ,1 the population of LOCATION_SLOT was officially estimated at NUMBER_SLOT .",1,/location/statistical_region/population,0
97,/location/statistical_region/fertility_rate,1,1,90 Fertility Rate í¢ $ `` LOCATION_SLOT NUMBER_SLOT,0,/location/statistical_region/fertility_rate,0
98,no_region,0,0,"Germany 18 % , France 16.1 % , Netherlands 13 % , UK 7.3 % , LOCATION_SLOT 5.3 % , Italy NUMBER_SLOT % -LRB- 2012 -RRB-",1,/location/statistical_region/health_expenditure_as_percent_of_gdp,0
99,/location/statistical_region/life_expectancy,1,1,"LOCATION_SLOT Life expectancy at birth , total -LRB- years -RRB- 2011 : NUMBER_SLOT , Years",1,/location/statistical_region/life_expectancy,0
100,/location/statistical_region/gdp_nominal,1,0,The latest value for GDP -LRB- current US$ -RRB- in LOCATION_SLOT was $ NUMBER_SLOT as of 2011 .,1,no_region,1
101,no_region,0,1,"South Africa 29.9 % , US 15.7 % , Spain 7.6 % , Cote dIvoire NUMBER_SLOT % , Germany 4.2 % , LOCATION_SLOT 4.1 % , China 4 % -LRB- 2011 -RRB-",1,/location/statistical_region/health_expenditure_as_percent_of_gdp,1
102,/location/statistical_region/diesel_price_liter,1,1,The latest value for Pump price for diesel fuel -LRB- US$ per liter -RRB- in LOCATION_SLOT was NUMBER_SLOT as of 2012 .,0,no_region,0
103,/location/statistical_region/cpi_inflation_rate,1,0,Inflation -LRB- Average Consumer Price Change % -RRB- for LOCATION_SLOT in year 2013 is NUMBER_SLOT % .,1,/location/statistical_region/diesel_price_liter,1
104,no_region,0,0,Value & RankThe Total Population of LOCATION_SLOT is NUMBER_SLOT -LRB- millions of -RRB- with a global rank of 105 .,0,no_region,0
105,/location/statistical_region/gdp_nominal,1,0,The Gross Domestic Product -LRB- GDP -RRB- in LOCATION_SLOT was worth NUMBER_SLOT US dollars in 2012 .,0,/location/statistical_region/cpi_inflation_rate,1
106,/location/statistical_region/population,1,0,"As of the reference date , total population of LOCATION_SLOT</location> is NUMBER_SLOT 754 NUMBER_SLOT .",0,/location/statistical_region/population,0
107,no_region,0,0,"LOCATION_SLOT</location></location></location></location></location> compared to other CountriesThe Inflation of Honduras is similar to that of Namibia , Macao SAR , China , Trinidad and Tobago , St. Lucia , Liberia , Lesotho , Lebanon , Isle of Man , Dominican Republic , Sri Lanka with a respective Inflation of 5.50 , NUMBER_SLOT , 5.40 , NUMBER_SLOT , NUMBER_SLOT , 5.00 , NUMBER_SLOT , NUMBER_SLOT , NUMBER_SLOT , 4.70 -LRB- % -RRB- and a global rank of 62 , 63 , 64 , 65 , 66 , 68 , 69 , 70 , 71 , 72 .",0,/location/statistical_region/population,1
108,/location/statistical_region/gdp_nominal,1,1,Germany GDP Ìâ - Ìâ The Gross Domestic Product -LRB- GDP -RRB- in LOCATION_SLOT was worth NUMBER_SLOT US dollars in 2013 .,1,/location/statistical_region/cpi_inflation_rate,1
109,/location/statistical_region/gni_in_ppp_dollars,1,1,"The latest value for GNI , PPP -LRB- current international $ -RRB- in LOCATION_SLOT was NUMBER_SLOT as of 2011 .",0,/location/statistical_region/diesel_price_liter,1
110,/location/statistical_region/gni_per_capita_in_ppp_dollars,1,0,"The latest value for GNI per capita , PPP -LRB- constant 2005 international $ -RRB- in LOCATION_SLOT was NUMBER_SLOT as of 2011 .",0,/location/statistical_region/gni_per_capita_in_ppp_dollars,0
111,/location/statistical_region/diesel_price_liter,1,1,The latest value for Pump price for diesel fuel -LRB- US$ per liter -RRB- in LOCATION_SLOT was NUMBER_SLOT as of 2012 .,0,no_region,0
112,/location/statistical_region/cpi_inflation_rate,1,0,Inflation -LRB- Average Consumer Price Change % -RRB- for LOCATION_SLOT in year 2013 is NUMBER_SLOT % .,1,/location/statistical_region/diesel_price_liter,0
113,no_region,0,1,"The latest value for GDP per capita , PPP -LRB- current international $ -RRB- in LOCATION_SLOT was NUMBER_SLOT as of 2011 .",0,/location/statistical_region/gdp_nominal_per_capita,1
114,/location/statistical_region/population,1,0,"The population of LOCATION_SLOT was estimated at NUMBER_SLOT in July of 2000 , with a growth rate estimated at 2.17 percent .",1,/location/statistical_region/fertility_rate,0
115,/location/statistical_region/population,1,0,"The total population in LOCATION_SLOT was last recorded at NUMBER_SLOT people in 2013 from 0.9 million in 1960 , changing 352 percent during the last 50 years .",1,/location/statistical_region/population,1
116,/location/statistical_region/diesel_price_liter,1,1,"LOCATION_SLOT Pump price for diesel fuel -LRB- US$ per liter -RRB- 2012 : NUMBER_SLOT , U.S. dollars",0,no_region,1
117,no_region,0,1,"The latest value for GDP per capita , PPP -LRB- current international $ -RRB- in LOCATION_SLOT was NUMBER_SLOT as of 2011 .",0,/location/statistical_region/gdp_nominal_per_capita,0
118,/location/statistical_region/gdp_nominal,1,1,Belgium GDP Ìâ - Ìâ The Gross Domestic Product -LRB- GDP -RRB- in LOCATION_SLOT was worth NUMBER_SLOT US dollars in 2013 .,0,/location/statistical_region/cpi_inflation_rate,1
119,no_region,0,1,"The latest value for GDP , PPP -LRB- current international $ -RRB- in LOCATION_SLOT was NUMBER_SLOT as of 2011 .",0,/location/statistical_region/gni_per_capita_in_ppp_dollars,0
120,/location/statistical_region/gdp_nominal,1,1,Germany GDP Ìâ - Ìâ The Gross Domestic Product -LRB- GDP -RRB- in LOCATION_SLOT was worth NUMBER_SLOT US dollars in 2013 .,1,/location/statistical_region/cpi_inflation_rate,1
121,/location/statistical_region/gdp_nominal,1,0,The Gross Domestic Product -LRB- GDP -RRB- in LOCATION_SLOT was worth NUMBER_SLOT US dollars in 2013 .,0,/location/statistical_region/cpi_inflation_rate,0
122,/location/statistical_region/life_expectancy,1,1,"The value for Life expectancy at birth , total -LRB- years -RRB- in LOCATION_SLOT was NUMBER_SLOT as of 2011 .",1,/location/statistical_region/life_expectancy,1
123,no_region,0,1,"According to the latest WHO data published in April 2011 life expectancy in LOCATION_SLOT</location> is : Male NUMBER_SLOT , female NUMBER_SLOT and total life expectancy is 81.4 which gives Norway a World Life Expectancy ranking of 15 .",1,/location/statistical_region/life_expectancy,1
124,/location/statistical_region/fertility_rate,1,1,"The value for Fertility rate , total -LRB- births per woman -RRB- in LOCATION_SLOT was NUMBER_SLOT as of 2011 .",1,/location/statistical_region/fertility_rate,0
125,/location/statistical_region/population,1,0,"The population of LOCATION_SLOT , including Western Sahara , was estimated by the United Nations at NUMBER_SLOT in 2003 , which placed it as number 37 in population among the 193 nations of the world .",0,/location/statistical_region/population,1
126,/location/statistical_region/population,1,0,"In 2014 , LOCATION_SLOT has an estimated population of NUMBER_SLOT in 2014 , which ranks 81st in the world .",1,/location/statistical_region/population,0
127,no_region,0,0,"GDP per capita ; PPP -LRB- US dollar -RRB- in LOCATION_SLOT was last measured at NUMBER_SLOT in 2011 , according to the World Bank .",0,/location/statistical_region/gni_per_capita_in_ppp_dollars,0
128,/location/statistical_region/cpi_inflation_rate,1,0,Inflation -LRB- Average Consumer Price Change % -RRB- for LOCATION_SLOT in year 2013 is NUMBER_SLOT % .,1,/location/statistical_region/diesel_price_liter,1
129,no_region,0,0,"GDP ; PPP -LRB- US dollar -RRB- in LOCATION_SLOT was last measured at NUMBER_SLOT in 2011 , according to the World Bank .",0,/location/statistical_region/gni_per_capita_in_ppp_dollars,1
130,/location/statistical_region/cpi_inflation_rate,1,0,Inflation -LRB- End of Year Change % -RRB- for LOCATION_SLOT in year 2013 is NUMBER_SLOT % .,1,/location/statistical_region/diesel_price_liter,0
131,/location/statistical_region/renewable_freshwater_per_capita,1,1,"LOCATION_SLOT Renewable internal freshwater resources per capita -LRB- cubic meters -RRB- 2011 : NUMBER_SLOT , Cubic meters",0,no_region,1
132,/location/statistical_region/cpi_inflation_rate,1,0,Inflation -LRB- End of Year Change % -RRB- for LOCATION_SLOT in year 2013 is NUMBER_SLOT % .,1,/location/statistical_region/diesel_price_liter,0
133,no_region,0,0,"The latest value for GDP , PPP -LRB- current international $ -RRB- in LOCATION_SLOT was NUMBER_SLOT as of 2011 .",0,/location/statistical_region/gni_per_capita_in_ppp_dollars,1
134,/location/statistical_region/gdp_nominal_per_capita,1,1,"LOCATION_SLOT GDP per capita -LRB- current US$ -RRB- 2012 : NUMBER_SLOT , U.S. dollars",0,no_region,0
135,/location/statistical_region/diesel_price_liter,1,1,The latest value for Pump price for diesel fuel -LRB- US$ per liter -RRB- in LOCATION_SLOT was NUMBER_SLOT as of 2012 .,0,no_region,0
136,no_region,0,0,"The latest value for GDP per capita , PPP -LRB- constant 2005 international $ -RRB- in LOCATION_SLOT was NUMBER_SLOT as of 2011 .",0,/location/statistical_region/gni_per_capita_in_ppp_dollars,1
137,no_region,0,0,Value & RankThe Total Population of LOCATION_SLOT is NUMBER_SLOT -LRB- millions of -RRB- with a global rank of 145 .,0,no_region,1
138,no_region,0,0,Ìâ LOCATION_SLOT | | NUMBER_SLOT,0,no_region,1
139,/location/statistical_region/gdp_nominal,1,0,Philippines GDP Ìâ - Ìâ The Gross Domestic Product -LRB- GDP -RRB- in LOCATION_SLOT was worth NUMBER_SLOT US dollars in 2013 .,0,/location/statistical_region/cpi_inflation_rate,0
