parsedSentence,claim,property
"<br /> <a style=""font-weight: bold;"" href=""http://www.bbc.co.uk/news/world-africa-11506313""> <br /> Read more </a> ... NUMBER_SLOT /> <br /> <span style=""font-weight: bold;""> Update # 1 : </span> <a href=""http://af.reuters.com/article/topNews/idAFJOE69700M20101008""> Bissau names suspected drugs baron as navy chief </a> -- Reuters <br /> <span style=""font-weight: bold;""> Update # 2 : </span> <a href=""http://www.google.com/hostednews/afp/article/ALeqM5ilSomzgCoq9tsWcyXgTRT6XoSCMw?docId=CNG.b8bc18118446de1bbad01e72bf997b86.51""> Bubo returns as head of G. Bissau 's navy </a> -- AFP <br /> <span style=""font-weight: bold;""> <br /> LOCATION_SLOT Comment : </span> Appointments like this one reflect on how corrupt and dysfunctional many government are in Africa ... and a problem that will only get worse when drugs and the drug trade gets involved .",not_about_economic_statistics,not_about_economic_statistics
The last RNIS Report -LRB- no NUMBER_SLOT -RRB- described a situation where rations were reduced in Kigoma and LOCATION_SLOT camps because of difficulties in transporting commodities due to heavy rains .,not_about_economic_statistics,not_about_economic_statistics
"Export Partners : Japan 41.5 % , LOCATION_SLOT NUMBER_SLOT % , NZ 6.3 %",claim,statistic_not_listed
"The standard company tax rate is NUMBER_SLOT % ; manufacturing companies registered in LOCATION_SLOT approved by the Minister of Finance and Development Planning , and offshore financial services companies are subject to a reduced rate of 15 % .",claim,statistic_not_listed
Tuberculosis statistics -LRB- LOCATION_SLOT -RRB- -LRB- NUMBER_SLOT -RRB-,claim,statistic_not_listed
LOCATION_SLOT NUMBER_SLOT,not_about_economic_statistics,not_about_economic_statistics
"Public expenditure on health as a share of total health expenditure has gradually decreased during the entire transition period from officially NUMBER_SLOT % in 1989Ã cents Â $ Â `` 1990 to 57.8 % in 2008 -LRB- WHO Regional Office for LOCATION_SLOT , 2011 -RRB- .",claim,health_expenditure_as_percent_of_gdp
"LOCATION_SLOT is inhabited mostly by Croats -LRB- NUMBER_SLOT % -RRB- , while minority groups include Serbs -LRB- 4.36 % -RRB- , Bosniaks , Hungarians , Italians , Albanians , Slovenes , Germans , Czechs , Romani people and others -LRB- 5.22 % -RRB- .",not_about_economic_statistics,not_about_economic_statistics
Table 6.16 : Projected average GDP growth Ireland versus EU NUMBER_SLOT The main driver of IrelandÃ cents Â $ Â s strong population growth is our higher than average fertility rates when compared with the rest of LOCATION_SLOT .,not_claim,gdp_growth_rate
"US Embassy Nassau Economic-Commercial Section P.O. Box 9009 Miami , LOCATION_SLOT NUMBER_SLOT Tel : -LRB-242-RRB-323-7180 Fax : -LRB-242-RRB-328-3495",not_about_economic_statistics,not_about_economic_statistics
LOCATION_SLOT -LRB- NUMBER_SLOT -RRB-,not_about_economic_statistics,not_about_economic_statistics
"It states that LOCATION_SLOT accounted for over half of U.S. arms sales in 2011 , spending NUMBER_SLOT dollars on arms including 84 Boeing F-15 fighter jets .",claim,statistic_not_listed
"-LRB- Source : Statistical Office of The Republic of Slovenia -RRB- More employed persons In the second quarter of 2014 there were NUMBER_SLOT employed persons in LOCATION_SLOT , 34,000 more than in the first quarter of 2014 .",not_about_economic_statistics,not_about_economic_statistics
"Dar es Salaam -LRB- administrative -RRB- - 1,360,850 ; LOCATION_SLOT -LRB- official -RRB- - NUMBER_SLOT",not_about_economic_statistics,not_about_economic_statistics
"In 2007 , China contributed NUMBER_SLOT % of the worldÃ cents Â $ Â s annual CO2 emissions , compared with 19.9 % for the LOCATION_SLOT .",not_about_economic_statistics,statistic_not_listed
"The LOCATION_SLOT inflation measured by the consumer prices index -LRB- CPI -RRB- fell to 2.7 % in August , from NUMBER_SLOT % in July .",claim,cpi_inflation_rate
"Within twenty-four hours , the two countries had concluded an agreement to build a $ NUMBER_SLOT gas pipeline across the Gulf of Oman and provide Iranian gas to LOCATION_SLOT for twenty-five years .",not_about_economic_statistics,not_about_economic_statistics
NUMBER_SLOT -RRB- LOCATION_SLOT 1.9 mln of tons .,not_about_economic_statistics,not_about_economic_statistics
"The LOCATION_SLOT goods trade deficit with Iraq was $ NUMBER_SLOT in 2012 , an increase of $ 2.7 billion from the deficit in 2011 .",claim,statistic_not_listed
"In 2003 LOCATION_SLOT produced NUMBER_SLOT mmst , all of which was consumed domestically .",claim,not_about_economic_statistics
"Situated off the northeast coast of LOCATION_SLOT at the extreme southern end of the Lesser Antilles , the islands of Trinidad and Tobago cover an area of NUMBER_SLOT sq km -LRB- 1,981 sq mi -RRB- .",not_about_economic_statistics,not_about_economic_statistics
"Persona Neapolitan Pizzeria , a create-your-own , hand-crafted pizzeria concept out of LOCATION_SLOT , California , announced it has signed a franchise development agreement to open as many as NUMBER_SLOT restaurants in South Florida over the next five years .",not_about_economic_statistics,not_about_economic_statistics
"Econ NUMBER_SLOT Problem Set 1 : Understanding PPP exchange rates To understand the importance of using `` international dollars '' -LRB- Penn World Table -RRB- rather than `` LOCATION_SLOT dollars '' -LRB- regular GDP data , transformed into a com -",not_about_economic_statistics,not_about_economic_statistics
under 15 years : Serbia - NUMBER_SLOT male -LRB- s -RRB- / female ; LOCATION_SLOT - 1.07 male -LRB- s -RRB- / female,claim,statistic_not_listed
"Young girl NUMBER_SLOT , shows the debris of her family 's burnt kitchen in the border town of Plumtree , 500 km -LRB- 310 miles -RRB- south west of the capital LOCATION_SLOT June 20 , 2005 .",not_about_economic_statistics,not_about_economic_statistics
"Iran Today - Nuclear negotiations between LOCATION_SLOT , P5 NUMBER_SLOT -LRB- P. 1 -RRB-",not_about_economic_statistics,not_about_economic_statistics
"GABORONE , Aug. 26 -LRB- Xinhua -RRB- -- LOCATION_SLOT 's central bank has anticipated that the country 's inflation will remain within the objective range of NUMBER_SLOT to 6 percent in the second ...",not_claim,cpi_inflation_rate
-LSB- NUMBER_SLOT -RSB- Stationed in LOCATION_SLOT August 2006 .,not_about_economic_statistics,not_about_economic_statistics
LOCATION_SLOT : Nigeria 's Oil Export Slides to NUMBER_SLOT ... -LRB- Guardian -RRB-,not_claim,statistic_not_listed
Dominican Republic during the LOCATION_SLOT 's GDP - Official Exchange Rate had a positive growth of 126 % during the Great RecessionDominican Republic since the end of the Great RecessionDominican Republic 's GDP - Official Exchange Rate had a positive growth of NUMBER_SLOT % since the end of the Great Recession,not_claim,statistic_not_listed
The Eritreans fought a NUMBER_SLOT year bloody war against the greed of super Powers such as The USSR and the LOCATION_SLOT .,not_about_economic_statistics,not_about_economic_statistics
"<div class=""article-wrap""> <div id=""article-introduction""> <h1> Colombian S&T and innovation to NUMBER_SLOT 500 million loan </h1> <h4> By Lisbeth Fog </h4> </div> <br /> <br LOCATION_SLOT <div id=""article-body""> <p> -LSB- BOGOTA -RSB- Colombia is set to receive a US$ 0.5 billion loan to expand its science and technology capacity , it was announced last week -LRB- 15 March -RRB- .",not_about_economic_statistics,not_about_economic_statistics
"-LSB- 15 -RSB- LOCATION_SLOT was most popular with an average annual migration rate of NUMBER_SLOT persons , an outcome that can be attributed to the opening of the labor market to the Estonian work force in 2006 .",not_claim,net_migration
"Lagos , 23 August 1999 -LRB- IRIN -RRB- - LOCATION_SLOT plans to cut the size of its armed forces to NUMBER_SLOT troops from the current 80,000 over the next four years , but officials say this will not compromise the country 's peacekeeping role .",not_claim,size_of_armed_forces
"In FY05 , MIGA issued guarantees totaling USD NUMBER_SLOT to Dagris for its investment in the Societe Cotonniere du LOCATION_SLOT -LRB- SOCOMA -RRB- .",not_about_economic_statistics,not_about_economic_statistics
"LOCATION_SLOT Internet Users -LRB- 2000 , 2006 , 2007 -RRB- : 366,600 -LRB- 2000 -RRB- , NUMBER_SLOT -LRB- 2006 -RRB- , 760,000 -LRB- 2007 -RRB-",claim,internet_users
LOCATION_SLOT able to increase subsidies for agriculture to $ NUMBER_SLOT a year,not_claim,statistic_not_listed
LOCATION_SLOT GDP grows NUMBER_SLOT percent in 1st quarter,claim,gdp_growth_rate
"-LRB- 35 -RRB- Gulnar Kendirbaeva , `` Migrations in LOCATION_SLOT : Past and Present , '' Nationalities Papers 25 , no. NUMBER_SLOT -LRB- December 1997 -RRB- : 741-51 .",not_about_economic_statistics,not_about_economic_statistics
The Asia average is $ NUMBER_SLOT and that of LOCATION_SLOT $ 259 .,not_about_economic_statistics,not_about_economic_statistics
"^ Amii Omara-Otunnu , Politics and the Military in Uganda 1890Ã cents Â $ Â `` 1985 , St. Martin 's Press , LOCATION_SLOT , 1987 , NUMBER_SLOT",not_about_economic_statistics,not_about_economic_statistics
"China 47.8 % , US NUMBER_SLOT % , LOCATION_SLOT 15.7 % -LRB- 2004 -RRB-",not_about_economic_statistics,not_about_economic_statistics
"^ Earl J. Hamilton , American Treasure and the Price Revolution in LOCATION_SLOT , 1501Ã cents Â $ Â `` 1650 Harvard Economic Studies , NUMBER_SLOT -LRB- Cambridge , Massachusetts : Harvard University Press , 1934 -RRB-",not_about_economic_statistics,not_about_economic_statistics
Browse all NUMBER_SLOT LOCATION_SLOT topics Â '',not_about_economic_statistics,not_about_economic_statistics
"The chief trading partners were Saudi Arabia , the LOCATION_SLOT , and the UAE , accounting for 18.2 percent , 7.3 percent , and NUMBER_SLOT percent , respectively , of all exports in 1989 .",claim,statistic_not_listed
"Slowly , however , the country has begun to recover , and today Ethiopia has the biggest economy in LOCATION_SLOT -LRB- GDP -RRB- -LSB- NUMBER_SLOT -RSB- as the Ethiopian economy is also one of the fastest growing in the world and it is a regional powerhouse in the Horn and east Africa .",not_claim,gdp_nominal
"When LOCATION_SLOT 's first national census was conducted in 1969 , the population officially stood at NUMBER_SLOT persons .",claim,population
"LOCATION_SLOT , Rep. NUMBER_SLOT",not_about_economic_statistics,not_about_economic_statistics
"-LSB- 91 -RSB- LOCATION_SLOT is the second most biodiverse country in the world , lagging only after Brazil which is approximately NUMBER_SLOT times bigger .",not_about_economic_statistics,not_about_economic_statistics
LOCATION_SLOT NUMBER_SLOT,not_about_economic_statistics,not_about_economic_statistics
"-LSB- NUMBER_SLOT -RSB- This marked the end of the two great houses of dynasties of ancient LOCATION_SLOT , the Moriya and the Lambakanna .",not_about_economic_statistics,not_about_economic_statistics
During year 2012 European Union -LRB- LOCATION_SLOT -RRB- paid Euro NUMBER_SLOT as part of Seychelles/EU Fisheries partnership Agreement .,not_about_economic_statistics,not_about_economic_statistics
France remains LOCATION_SLOT 's first supplier with a market share of around NUMBER_SLOT % .,not_about_economic_statistics,not_about_economic_statistics
"LOCATION_SLOT has NUMBER_SLOT kilometers -LRB- 57,977 miles -RRB- of highways , 25 percent of which are paved .",not_about_economic_statistics,not_about_economic_statistics
LOCATION_SLOT : Malaria Cases Increase NUMBER_SLOT %,not_about_economic_statistics,not_about_economic_statistics
"Ã Â -LSB- 237 -RSB- In 2012 , the poor people about NUMBER_SLOT % of the population of LOCATION_SLOT .",not_claim,statistic_not_listed
"LOCATION_SLOT was the country that registered the highest increase in the region : in June the rate was above 8 % , which was unseen since October 2009 , while in Costa Rica it was NUMBER_SLOT % and Panama 9.4 % .",not_claim,not_about_economic_statistics
"An investment of approx US$ NUMBER_SLOT has been planned toward the expansion and development of the Port of LOCATION_SLOT , Djenjen Port and Algiers Port .",not_about_economic_statistics,not_about_economic_statistics
Merchandise exports to economies in the Arab World -LRB- % of total merchandise exports -RRB- in LOCATION_SLOT was NUMBER_SLOT as of 2011 .,claim,statistic_not_listed
"In the last years of the Nimeiri government , bilateral trade with LOCATION_SLOT was cut sharply but in April 1988 , Sudan and Egypt signed a trade agreement valued at US$ NUMBER_SLOT .",not_claim,statistic_not_listed
Social Conditions : In 2001 approximately NUMBER_SLOT percent of LOCATION_SLOT 's population lived in urban areas .,claim,statistic_not_listed
"The botanical gardens are situated north-west of the Medina of LOCATION_SLOT , about a NUMBER_SLOT minute walk .",not_about_economic_statistics,not_about_economic_statistics
LOCATION_SLOT -LRB- NUMBER_SLOT % -RRB-,not_about_economic_statistics,not_about_economic_statistics
"</span> </p> <p style=""text-align: justify;""> Â </p> <div style=""text-align: center;""> <span style=""font-family: arial,helvetica,sans-serif; font-size: small;""> <img style=""margin: 5px;"" title=""Algeria Fiscal Balance"" src=""http://www.euromoneycountryrisk.com/Documents/37726253-E805-4178-8A9A-2174276856BC/wiki/552ad9a1-ef3c-405b-add8-3c6241bebaf8.JPG"" alt=""Algeria Fiscal Balance"" hspace=""5"" vspace=""5"" /> </span> <br /> <div style=""text-align: left;""> <p style=""text-align: justify;""> <span style=""font-family: arial,helvetica,sans-serif; font-size: small;""> <span style=""color: black;""> -LRB- Source LOCATION_SLOT </span> <a href=""http://www.bank-of-algeria.dz/rapport_ba_2009/annexe_rapport_09.pdf""> Central Bank of Algeria </a> NUMBER_SLOT 10 -RRB- </span> </p> <p style=""text-align: justify;""> <span style=""font-family: arial,helvetica,sans-serif; font-size: small;""> <strong> Total Revenue </strong> </span> </p> <p style=""text-align: justify;""> <span style=""font-family: arial,helvetica,sans-serif; font-size: small;""> <span lang=""EN-GB""> Total revenue generated by government of Algeria for the year 2009 was recorded as DZD 2,412.7 billion .",not_about_economic_statistics,not_about_economic_statistics
The Economy of LOCATION_SLOT -LRB- Myanmar -RRB- is an emerging economy with an estimated nominal GDP of $ 51.93 billion -LSB- NUMBER_SLOT -RSB- and a purchasing power adjusted GDP of $ 83.74 billion .,not_claim,gdp_nominal
"For a list of conservation organizations operating in LOCATION_SLOT , see the Appendix , page NUMBER_SLOT .",not_about_economic_statistics,not_about_economic_statistics
Jan 1996 | Economic Commission for LOCATION_SLOT and the Caribbean â $ `` NUMBER_SLOT more results from this site,not_about_economic_statistics,not_about_economic_statistics
"partners : Caricom countries 47 % , LOCATION_SLOT NUMBER_SLOT % , US 7 % -LRB- 1996 est. -RRB-",claim,not_about_economic_statistics
-LSB- NUMBER_SLOT -RSB- Madagascar is a member of the International Criminal Court with a Bilateral Immunity Agreement of protection for the LOCATION_SLOT military .,not_about_economic_statistics,not_about_economic_statistics
"HIV/AIDS caused the death of 310,000 adults and children in LOCATION_SLOT , and less than NUMBER_SLOT in Mauritania and Equatorial Guinea , respectively .",not_about_economic_statistics,not_about_economic_statistics
LOCATION_SLOT exports of agricultural products to Senegal totaled $ NUMBER_SLOT in 2013 .,claim,statistic_not_listed
"He stressed , however , that the World Bank , like many economists , still expects LOCATION_SLOT to have a soft landing as seen from the bank 's revised NUMBER_SLOT percent growth forecast for this year and 8.1 percent for next year .",not_claim,gdp_growth_rate
"-LSB- 97 -RSB- However , the influx of immigrants from mainland China , approximating NUMBER_SLOT per year , is a significant contributor to its population growth Ã cents Â $ Â `` a daily quota of 150 Mainland Chinese with family ties in LOCATION_SLOT are granted a `` one way permit '' .",not_claim,statistic_not_listed
The prevelance rate of internet addiction for studies published in North America and LOCATION_SLOT ranges from NUMBER_SLOT % to 8.2 % .,not_claim,not_about_economic_statistics
"P.O. Box NUMBER_SLOT LOCATION_SLOT , DC 20090-8199 USA",not_about_economic_statistics,not_about_economic_statistics
LOCATION_SLOT is # NUMBER_SLOT in the world ranking .,not_about_economic_statistics,not_about_economic_statistics
"Amin , seeking to deflect blame and rally the populace , then accused Tanzania 's Nyerere of being the cause of the fighting and sent troops across the border to formally annex NUMBER_SLOT miles of Tanzania known as the LOCATION_SLOT on 1 November 1978 .",not_about_economic_statistics,not_about_economic_statistics
NUMBER_SLOT in 4 LOCATION_SLOT Internet Users Watches Online Videos Daily,not_about_economic_statistics,not_about_economic_statistics
"What are the NUMBER_SLOT poorest countries in North America , Central America and the LOCATION_SLOT ?",not_about_economic_statistics,not_about_economic_statistics
"LOCATION_SLOT 's forces operate out of NUMBER_SLOT Canadian Forces bases -LRB- CFB -RRB- across the country , including NDHQ .",not_about_economic_statistics,not_about_economic_statistics
"` Gastarbeiter in LOCATION_SLOT and Switzerland : an assessment of host societyimmigrant relations ' , Population Research and Policy Review NUMBER_SLOT -LRB- 3 -RRB- : 233-252 .",not_about_economic_statistics,not_about_economic_statistics
"Most victims were trafficked to Argentina -LRB- NUMBER_SLOT percent -RRB- , LOCATION_SLOT -LRB- 16 percent -RRB- , and Bolivia -LRB- 13 percent -RRB- .",not_about_economic_statistics,not_about_economic_statistics
"In 2000 the average life expectancy in Cambodia was NUMBER_SLOT years , compared to 72 years in LOCATION_SLOT .",not_claim,life_expectancy
"In LOCATION_SLOT , inflation was NUMBER_SLOT per cent , and in Maputo 0.39 per cent .",claim,cpi_inflation_rate
"LOCATION_SLOT : Lisbon is the largest city and capital of Portugal with a population of 547,631 within its administrative limits on a land area of NUMBER_SLOT km2 -LRB- 33 sq mi -RRB- .",not_about_economic_statistics,statistic_not_listed
"LOCATION_SLOT ended 2013 with a population of NUMBER_SLOT people , which represents an increasea of 4,781,569 people compared to 2012 .",claim,population
"In the past NUMBER_SLOT years LOCATION_SLOT has shifted from a relatively immobile society with limited freedom of movement to a country of origin , transit and increasingly destination of migrants .",not_about_economic_statistics,not_about_economic_statistics
"Indian census data -LRB- 2001 -RRB- records NUMBER_SLOT Parsis in India , with a concentration in and around the city of LOCATION_SLOT -LRB- previously known as Bombay -RRB- .",not_about_economic_statistics,not_about_economic_statistics
This means that on average per 15 people one person has HIV in LOCATION_SLOT amongst people between NUMBER_SLOT and 49 years old .,not_claim,statistic_not_listed
"From 1992 to 2001 , LOCATION_SLOT 's weighted average annual rate of inflation was NUMBER_SLOT",not_claim,cpi_inflation_rate
"Over the same period , however , the population of the metropolitan area of LOCATION_SLOT grew from 1.7 million to NUMBER_SLOT , and then to 2.8 million in 1990 .",claim,population
"Total LOCATION_SLOT Internet Audience , Age NUMBER_SLOT + - Home and Work Locations *",not_claim,internet_users
"The Law Enforcement branch is composed of : Fiji Police Force , Fiji Corrections Service , Demographics : Main article : http://en.wikipedia.org/wiki/Demographics_of_Fiji Ethnic groups : The population of LOCATION_SLOT is mostly made up of native Fijians , who are Melanesians -LRB- 54.3 % -RRB- , although many also have Polynesian ancestry , and Indo-Fijians -LRB- NUMBER_SLOT % -RRB- , descendants of Indian contract labourers brought to the islands by the British colonial powers in the 19th century .",not_about_economic_statistics,not_about_economic_statistics
"Statistics LOCATION_SLOT -LRB- 2010b -RRB- Main aggregates of the general government , Slovenia , NUMBER_SLOT Ã cents Â $ Â `` 2009 .",not_about_economic_statistics,not_about_economic_statistics
"LOCATION_SLOT has 2,098199 people and Bulawayo 655 , NUMBER_SLOT .",not_claim,population
foreign-owned : 1 -LRB- Republic of the LOCATION_SLOT NUMBER_SLOT -RRB- -LRB- 2010 -RRB-,not_about_economic_statistics,not_about_economic_statistics
LOCATION_SLOT -LRB- NUMBER_SLOT -RRB-,not_about_economic_statistics,not_about_economic_statistics
"University of Pennsylvania -LRB- also known as Penn -LSB- NUMBER_SLOT -RSB- -LSB- 4 -RSB- -RRB- is a private , coeducational research university located in LOCATION_SLOT , Pennsylvania .",not_about_economic_statistics,not_about_economic_statistics
"Leridon H , La seconde rÃ © volution contraceptive : la rÃ © gulation des naissances en LOCATION_SLOT de 1950 Ã 1985 , Travaux et Documents , Paris : Institut National d' Ã tudes DÃ © mographiques-Presses Universitaires de France -LRB- INED-PUF -RRB- , 1987 , No. NUMBER_SLOT .",not_about_economic_statistics,not_about_economic_statistics
"The non-oil foreign trade of Dubai , one of seven members of the LOCATION_SLOT , rose to Dhs1 NUMBER_SLOT -LRB- $ 362 billion -RRB- in 2013 .",not_claim,statistic_not_listed
The life expectancy at birth in Solomon Islands is 73.94 while in The LOCATION_SLOT it is NUMBER_SLOT .,claim,life_expectancy
"-LSB- NUMBER_SLOT -RSB- LOCATION_SLOT has become a major player in the African economic affairs , -LSB- 8 -RSB- and is the 5th African economy by GDP -LRB- PPP -RRB- .",not_claim,gdp_nominal
"The global recession hurt LOCATION_SLOT 's export-oriented economy , with GDP in 2012 growing at NUMBER_SLOT % , the slowest rate of growth since 1999 .",claim,gdp_growth_rate
1st is Macau over all life expectancy 84.37 years in 2nd will be country of Andorra with NUMBER_SLOT years and 3rd will be LOCATION_SLOT 82.07 .,not_claim,life_expectancy
"What happened at the forecourt of the NUMBER_SLOT Military hospital in LOCATION_SLOT where alleged offending taxi drivers were rounded up by soldiers , given military drills and taken to the mortuary to fondle corpses is outrageous .",not_about_economic_statistics,not_about_economic_statistics
The population of LOCATION_SLOT will increase by NUMBER_SLOT 072 persons or 1.93 % in 2014 .,not_claim,population_growth_rate
Â LOCATION_SLOT NUMBER_SLOT %,not_about_economic_statistics,not_about_economic_statistics
